company,country,round_type,amount_usd,date,investors,sector,source_url,source_type,confidence,signal,first_seen_date,linkedin_person,linkedin_post_url
Trace Finance,Brazil,series-a,32000000,2026-06-17,CoinFund,cross-border payments infrastructure,https://latamlist.com/trace-finance-raises-32m-series-a-led-by-coinfund/,latamlist,high,expansion,2026-07-16,Bernardo Brites (CEO),https://www.linkedin.com/posts/bebrites_we-raised-32m-to-bring-emerging-markets-activity-7474168896699289600-VZkW
Braven,Colombia,seed,4600000,2026-06-16,Collide,AI insurance infrastructure,https://latamlist.com/braven-raises-4-6m-seed-round-to-expand-ai-insurance-infrastructure-platform/,latamlist,high,early,2026-07-16,,
El Dorado,Colombia,series-a,9000000,2026-06-15,Paradigm; Coinbase Ventures; Verda Ventures,crypto stablecoin payments,https://cryptonews.net/news/finance/33013781/,latamlist,high,expansion,2026-07-14,,
Shopper,Brazil,,19690853,2026-06-11,GIC; Minerva; Quartz; iFood,rapid grocery delivery,https://neofeed.com.br/startups/shopper-acelera-nas-entregas-rapidas-e-prepara-expansao-com-aporte-de-r-100-milhoes/,prensa-br,medium,other,2026-07-16,,
Clip,Mexico,growth,500000000,2026-06-09,Ant International; Mastercard; TelevisaUnivision,payments fintech,https://www.bloomberg.com/news/articles/2026-06-09/fintech-clip-impulsa-pagos-digitales-en-mexico-con-nueva-billetera,latamlist,high,scale,2026-07-14,,
SPAKIO,Mexico,seed,1300000,2026-06-09,Liverpool Ventures; Variv Capital; Tantauco Ventures; Flecha Amarilla,on-demand storage logistics,https://latamlist.com/spakio-raises-1-3m-seed-extension-to-expand-storage-platform/,latamlist,high,early,2026-07-14,,
Idilio,Colombia,seed,5000000,2026-06-09,a16z Speedrun; David Vélez; WndrCo; Goodwater Capital,media vertical microdrama streaming,https://www.larepublica.co/empresas/plataforma-de-microdramas-idilio-cerro-ronda-semilla-por-us-5-millones-4409683,latamlist,high,early,2026-07-14,,
Banco Plata,Mexico,debt,300000000,2026-06-04,Oaktree; Macquarie Group; Fasanara,digital banking,https://latamlist.com/banco-plata-secures-300m-to-expand-operations/,latamlist,high,other,2026-07-16,,
Uncover,Brazil,series-a,16000000,2026-06-02,Cloud9 Capital,marketing analytics,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,expansion,2026-07-14,,
Cultimar Technologies,Puerto Rico,other,100000,2026-06,Parallel18,sustainable deep-sea aquaculture,https://newsismybusiness.com/parallel18-picks-16-startups-commits-1-6m-in-funding/,latamlist,high,other,2026-07-14,,
Diversia Health,Puerto Rico,other,100000,2026-06,Parallel18,clinical research connectivity,https://newsismybusiness.com/parallel18-picks-16-startups-commits-1-6m-in-funding/,latamlist,high,other,2026-07-14,,
Vitrify,Brazil,seed,1000000,2026-05-29,SVN; Plug and Play,,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,early,2026-07-14,,
Pax,Brazil,seed,40000000,2026-05-29,Greenoaks; Benchmark,logistics,https://forbes.com.br/forbes-money/2026/05/startup-brasileira-atrai-r-200-milhoes-na-maior-rodada-seed-ja-registrada-no-pais/,latamlist,high,early,2026-07-14,,
Conty,Brazil,pre-seed,,2026-05-28,Entrypoint,creator economy martech,https://startups.com.br/negocios/rodada-de-investimento/conty-fecha-pre-seed-para-escalar-conexao-entre-empresas-e-creators/,latamlist,high,early,2026-07-14,,
Moonflow,Argentina,seed,1600000,2026-05-28,TheVentureCity; Salkantay Ventures; Morro Ventures,AI collections automation,https://latamlist.com/moonflow-raises-1-6m-pre-series-a-round-led-by-theventurecity/,latamlist,high,early,2026-07-16,,
SolarZ,Brazil,growth,1200000,2026-05-20,Triaxis Capital; Crescera Capital,solar energy SaaS,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,scale,2026-07-14,,
Draiven,Brazil,seed,600000,2026-05-20,Asterismus Capital,,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,early,2026-07-14,,
Mozart,Uruguay,pre-seed,600000,2026-05-20,Orbit Ventures; Picante VC; angels,AI collections agents,https://latamlist.com/mozart-raises-600k-pre-seed-round/,latamlist,high,early,2026-07-14,,
Aimirim,Brazil,growth,2000000,2026-05-15,SP Ventures; Indicator Capital,industrial energy efficiency,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,scale,2026-07-14,,
Beepay,Brazil,seed,400000,2026-05-14,Comunitá,payments fintech,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,early,2026-07-14,,
Franq,Brazil,series-b,12400000,2026-05-12,Valor Capital; Quona; Globo Ventures,banking platform,https://latamlist.com/category/startup-news/funding/page/3/,latamlist,high,expansion,2026-07-14,,
Sofía,Mexico,other,21000000,2026-05-07,Kfund; Index Ventures; Kaszek; BID Lab; Kayyak Ventures,health insurtech,https://dplnews.com/sofia-levanta-21-mdd/,latamlist,high,other,2026-07-14,,
Alkemio,Argentina,other,2000000,2026-05-02,VU Venture Partners; Dalus Capital; Amplifica Capital; VX Ventures; GRIDX,rare-earth refining cleantech,https://www.iproup.com/startups/67410-startup-argentina-consiguio-2-millones-busca-revolucionar-minerales-criticos,latamlist,high,other,2026-07-14,,
Teramot,Argentina,seed,2500000,2026-05,angel investors; institutional tech funds,AI enterprise data agents,https://www.iproup.com/startups/68342-startup-argentina-crea-50-agentes-de-ia-para-transformar-empresas-levantan-25-millones,latamlist,high,early,2026-07-14,,
Kleva,Mexico,seed,1550000,2026-04-30,Wollef Ventures; Nascent; Kuiper VC; Lerer Hippeau,AI collections agents,https://www.latamfintech.co/articles/fintech-mexicana-kleva-levanta-us-1-55-millones-en-una-ronda-semilla-para-potenciar-sus-agentes-de-ia-para-cobranzas,latamlist,high,early,2026-07-14,,
belo,Argentina,series-a,14000000,2026-04-29,Tether; Titan Fund; TheVentureCity; Mindset Ventures; G2,stablecoin payments fintech,https://www.forbesargentina.com/negocios/belo-levanta-us-14-millones-su-serie-gigante-tether-como-principal-inversor-n90045,latamlist,high,expansion,2026-07-14,,
Segura,Brazil,seed,8000000,2026-04-28,Andreessen Horowitz; Kaszek,,https://latamlist.com/category/startup-news/funding/page/4/,latamlist,high,early,2026-07-14,,
Inzai,Chile,seed,500000,2026-04-28,undisclosed environmental investors,regtech environmental permitting AI,https://www.df.cl/df-lab/innovacion-y-startups/startup-fundada-por-exsuper-de-medio-ambiente-de-pinera-levanta-capital,latamlist,high,early,2026-07-14,,
Aro,Brazil,pre-seed,2500000,2026-04-21,ONEVC; 17Sigma,,https://latamlist.com/category/startup-news/funding/page/4/,latamlist,high,early,2026-07-14,,
FanBase,Brazil,other,600000,2026-04-21,DOMO.VC,sports fan engagement,https://latamlist.com/category/startup-news/funding/page/4/,latamlist,high,other,2026-07-14,,
BOND,Brazil,seed,2000000,2026-04-17,Propel Venture Partners,,https://latamlist.com/category/startup-news/funding/page/4/,latamlist,high,early,2026-07-14,,
Neotrip,Brazil,pre-seed,455000,2026-04-15,HotelInvest,hotel AI,https://startups.com.br/negocios/rodada-de-investimento/neotrip-capta-r-25m-para-levar-ia-a-hotelaria-brasileira/,latamlist,high,early,2026-07-14,,
Plata,Mexico,series-c,405000000,2026-04-15,Bicycle Capital; Qatar Investment Authority; BTG Pactual; Valor Capital,digital banking,https://expansion.mx/economia/2026/04/15/banco-plata-cierra-nueva-ronda-de-financiamiento-y-logra-valuacion-de-5-000-mdd,latamlist,high,expansion,2026-07-14,,
Grupalia,Mexico,seed,7700000,2026-04-15,Tantauco Ventures; Semilla Ventures; Innogen Capital; Addem Capital,group lending neobank,https://techla.pro/2026/04/15/grupalia-levanta-7-7-millones-para-digitalizar-el-credito-de-micronegocios-en-mexico/,latamlist,high,early,2026-07-14,,
Depay,Argentina,seed,4000000,2026-04-14,North Island Ventures; Digital Currency Group; CMT Digital; Verda Ventures,real-time payments infrastructure,https://latamlist.com/depay-raises-4m-seed-round/,latamlist,high,early,2026-07-14,,
Inner AI,Brazil,seed,6000000,2026-04-09,Canary; ONEVC,AI productivity platform,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,early,2026-07-14,,
Maggu AI,Brazil,other,3700000,2026-04-09,,artificial intelligence,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,other,2026-07-14,,
Splyce Finance,Panama,other,,2026-04-09,Sui Foundation; Stellar Development Foundation; Solana Foundation; Lucid Ventures; Sarson Funds; Kin Capital,DeFi lending infrastructure,https://www.kucoin.com/news/flash/defi-yield-platform-splyce-completes-strategic-funding-round-with-sui-foundation-and-others,latamlist,high,other,2026-07-14,,
Satellites On Fire,Argentina,seed,2700000,2026-04-08,Dalus Capital,wildfire detection climate tech,https://www.cronista.com/negocios/nuevas-promesas-las-startups-argentinas-ya-consiguieron-el-doble-de-capital-que-en-todo-2025/,latamlist,high,early,2026-07-14,,
Kaizen Mentoria,Brazil,other,970000,2026-04-07,Mercurial Atlantic Investments,mentoring education,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,other,2026-07-14,,
Hero Seguros,Brazil,seed,7000000,2026-04-02,Headline XP,insurtech,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,early,2026-07-14,,
NuVidio,Brazil,other,1200000,2026-04-02,DOMO.VC,video customer service,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,other,2026-07-14,,
Somos Internet,Colombia,series-b,40000000,2026-04-01,Bracket Capital; Ribbit Capital; Union Square Ventures; Kaszek; Y Combinator,telecom fiber internet,https://latamlist.com/somos-internet-raises-40m-series-b/,latamlist,high,expansion,2026-07-14,,
UnblockPay,Brazil,seed,4500000,2026-03-30,Prelude,stablecoin payments,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,early,2026-07-14,,
Mevo,Brazil,other,18000000,2026-03-30,Prosus,digital health,https://latamlist.com/category/startup-news/funding/page/5/,latamlist,high,other,2026-07-14,,
Cifrato,Colombia,seed,1000000,2026-03-26,Y Combinator; Fen Ventures; Decelera Ventures; Kuiper,AI accounting automation,https://latamlist.com/cifrato-raises-over-1m-to-automate-accounting-processes-with-ai/,latamlist,high,early,2026-07-14,,
Eclectic,Chile,pre-seed,,2026-03-25,David Rau fund; Thomas Maremaa; Nicolás Serrano,AI business communication automation,https://www.infinita.cl/infinita-te-explica/2026/03/25/startup-chilena-eclectic-levanta-ronda-angel-y-apuesta-por-crecer-con-un-equipo-pequeno-y-alto-apalancamiento-en-ia.html,latamlist,high,early,2026-07-14,,
BackChannel,Brazil,seed,4800000,2026-03-24,Sunna Ventures,B2B marketplace,https://latamlist.com/category/startup-news/funding/page/6/,latamlist,high,early,2026-07-14,,
Bliss,Brazil,series-a,11000000,2026-03-24,Kfund; Grupo Bradesco,,https://latamlist.com/category/startup-news/funding/page/6/,latamlist,high,expansion,2026-07-14,,
Rexi,Argentina,pre-seed,1200000,2026-03-24,US venture capital funds,financial reconciliation fintech,https://latamlist.com/rexi-raises-1-2m-pre-seed-funding/,latamlist,high,early,2026-07-14,,
Prestamype,Peru,other,27000000,2026-03-24,ALIVE Ventures; Oikocredit; Salkantay Ventures; Lendable,SME fintech lending factoring,https://latamlist.com/prestamype-raises-27m-in-equity-and-debt/,latamlist,high,other,2026-07-14,,
Azos,Brazil,series-c,24000000,2026-03-13,Kaszek; Kevin Efrusy,life insurtech,https://latamlist.com/category/startup-news/funding/page/6/,latamlist,high,expansion,2026-07-14,,
"Kilowattia, S.A.",Panama,grant,30000,2026-03-11,SENACYT; CCIAP,AI energy efficiency,https://www.senacyt.gob.pa/en/la-senacyt-y-la-cciap-reconocen-proyectos-innovadores-y-a-empresarias-destacadas-en-el-premio-nacional-a-la-innovacion-empresarial-2025/,latamlist,high,other,2026-07-14,,
"ICM LAB, S.A.",Panama,grant,20000,2026-03-11,SENACYT; CCIAP,genetic diagnostics healthtech,https://www.senacyt.gob.pa/en/la-senacyt-y-la-cciap-reconocen-proyectos-innovadores-y-a-empresarias-destacadas-en-el-premio-nacional-a-la-innovacion-empresarial-2025/,latamlist,high,other,2026-07-14,,
"ARPIA Intelligence, Inc.",Panama,grant,10000,2026-03-11,SENACYT; CCIAP,AI governance platform,https://www.senacyt.gob.pa/en/la-senacyt-y-la-cciap-reconocen-proyectos-innovadores-y-a-empresarias-destacadas-en-el-premio-nacional-a-la-innovacion-empresarial-2025/,latamlist,high,other,2026-07-14,,
Celero,Brazil,series-a,2900000,2026-03-10,Headline; Visa,SMB fintech,https://latamlist.com/category/startup-news/funding/page/6/,latamlist,high,expansion,2026-07-14,,
Vitrify,Brazil,pre-seed,190000,2026-03-09,angel investors,,https://latamlist.com/category/startup-news/funding/page/6/,latamlist,high,early,2026-07-14,,
Ualá,Argentina,growth,195000000,2026-03-04,Allianz X; Stone Ridge; Tencent; Soros Fund Management; D1 Capital,fintech neobank,https://www.lanacion.com.ar/economia/negocios/uala-cerro-una-ronda-de-inversion-de-us195-millones-nid04032026/,latamlist,high,scale,2026-07-14,,
ARQ,Mexico,other,70000000,2026-03-03,Founders Fund; Sequoia Capital; Kaszek,stablecoin banking app,https://www.bloomberg.com/news/articles/2026-03-03/sequoia-founders-fund-back-70-million-raise-for-latam-s-arq,latamlist,high,other,2026-07-14,,
Cromodata,Argentina,seed,4000000,2026-03,Mexican investor group,health data infrastructure,https://eleconomista.com.ar/negocios/rondas-inversion-startups-son-seed-serie-a-b-c-empresas-argentinas-ya-transitaron-n94603,latamlist,high,early,2026-07-14,,
Zapia,Uruguay,seed,7000000,2026-03,Prosus Ventures,consumer AI assistant,https://www.prosus.com/news-insights/2026/zapia-raises-dollar-7-million-seed-extension-from-prosus-ventures-to-launch-consumer-facing-autonomous-ai-agents,latamlist,high,early,2026-07-14,,
Tools for the Commons,Brazil,pre-seed,1900000,2026-02-27,468 Capital; Sthorm; Tanssi,blockchain governance infrastructure,https://startupi.com.br/startup-brasileira-levanta-pre-seed-de-r-10-milhoes/,latamlist,high,early,2026-07-14,,
Addi,Colombia,other,89000000,2026-02-26,Citi; Goldman Sachs; BBVA Spark; Neuberger Berman; Victory Park Capital,fintech BNPL,https://latamlist.com/addi-secures-89m-from-citi/,latamlist,high,other,2026-07-14,,
Comp,Brazil,series-a,17500000,2026-02-24,Khosla Ventures,compensation SaaS,https://latamlist.com/category/startup-news/funding/page/7/,latamlist,high,expansion,2026-07-14,,
Humand,Argentina,series-a,66000000,2026-02-23,Kaszek; Goodwater Capital; Marcos Galperin; Y Combinator; Newtopia VC,HR tech employee apps,https://www.forbesargentina.com/negocios/la-startup-humand-levanta-us-66-millones-record-regional-galperin-como-nuevo-inversor-n86665,latamlist,high,expansion,2026-07-14,,
Takeat,Brazil,series-a,2900000,2026-02-20,DGF Investimentos; Quartzo,restaurant tech,https://latamlist.com/category/startup-news/funding/page/8/,latamlist,high,expansion,2026-07-14,,
Kavak,Mexico,other,300000000,2026-02-17,Andreessen Horowitz; WCM Investment Management; Lingotto; Foxhaven,used-car marketplace,https://news-room.kavak.com/kavak-announces-usd300-million-series-f-led-by-andreessen-horowitz-to-expand-access-trust-and-financing-across-latin-america,latamlist,high,other,2026-07-14,,
Lebane,Argentina,seed,4000000,2026-02-12,Atlántico; Zacua Ventures; Kuiper VC; Fen Ventures; Galicia Ventures,AI construction management proptech,https://contxto.com/en/news/argentine-company-lebane-closes-4-million-funding-round-seeks-to-consolidate-its-expansion-in-mexico/,latamlist,high,early,2026-07-14,,
Daypass.com,Mexico,seed,2000000,2026-02-11,private investor group; friends and family,traveltech hotel daypasses,https://forbes.com.mx/ad-daypass-com-cierra-ronda-de-inversion-de-2-millones-usd-para-acelerar-expansion-internacional-y-liderar-experiencias-hoteleras-de-un-dia/,latamlist,high,early,2026-07-14,,
Avenia,Brazil,series-a,17000000,2026-02-10,Quona; Fluent Ventures; Tomorrow Capital,stablecoin infrastructure,https://latamlist.com/category/startup-news/funding/page/8/,latamlist,high,expansion,2026-07-14,,
BeConfident,Brazil,series-a,15800000,2026-02-09,Prosus Ventures,,https://latamlist.com/category/startup-news/funding/page/8/,latamlist,high,expansion,2026-07-14,,
Pix Mídia,Brazil,other,550000,2026-02-09,Domo Invest,DOOH advertising,https://latamlist.com/category/startup-news/funding/page/9/,latamlist,high,other,2026-07-14,,
Ruvo,Brazil,seed,4600000,2026-02-09,1confirmation,crypto,https://latamlist.com/category/startup-news/funding/page/9/,latamlist,high,early,2026-07-14,,
Mova Protocol,Brazil,seed,3000000,2026-02-06,,DeFi lending,https://latamlist.com/category/startup-news/funding/page/9/,latamlist,high,early,2026-07-14,,
Ravena,Brazil,seed,7600000,2026-02-03,Canary,,https://latamlist.com/category/startup-news/funding/page/9/,latamlist,high,early,2026-07-14,,
Tapi,Argentina,series-b,27000000,2026-02-03,Kaszek; Endeavor Catalyst; Latitud,payments and collections fintech,https://www.forbesargentina.com/negocios/la-fintech-tapi-cierra-una-serie-b-us-27-millones-acelera-su-despliegue-mexico-tras-alcanzar-rentabilidad-n85715,latamlist,high,expansion,2026-07-14,,
DeepAgro,Argentina,other,2000000,2026-02-02,Kamay Ventures; Innventure,AI precision spraying agtech,https://tekios.co/2026/02/02/deepagro-levanta-us2-millones-para-escalar-su-ia-que-reduce-hasta-90-el-uso-de-herbicidas/,latamlist,high,other,2026-07-14,,
Saptiva AI,Mexico,pre-seed,,2026-02,99 Startups; CISA Ventures; Crucible Capital; DCG Expeditions,sovereign AI infrastructure,https://growthlist.co/mexico-startups/,latamlist,high,early,2026-07-14,,
Anbetec,Brazil,other,5800000,2026-01-29,SRM Ventures,,https://latamlist.com/category/startup-news/funding/page/9/,latamlist,high,other,2026-07-14,,
Lerian,Brazil,seed,5700000,2026-01-29,MAYA Capital; Norte Ventures; Supera Capital,core banking software,https://latamlist.com/category/startup-news/funding/page/10/,latamlist,high,early,2026-07-14,,
Refurbi,Colombia,seed,4000000,2026-01-29,Latin Leap; PSM Impact Ventures; Epic Angels; IDB; Banco Itaú,refurbished electronics marketplace,https://latamlist.com/refurbi-raises-4m-seed-round-extension/,latamlist,high,early,2026-07-14,,
Jelou,Ecuador,series-a,10000000,2026-01-27,Wellington Access Ventures; Krealo; Collide Capital,conversational AI WhatsApp fintech infrastructure,https://latamlist.com/jelou-raises-10m-series-a/,latamlist,high,expansion,2026-07-14,,
Nagro,Brazil,series-b,9500000,2026-01-22,Rabobank; Itaú,agri-fintech,https://latamlist.com/category/startup-news/funding/page/10/,latamlist,high,expansion,2026-07-14,,
Pomelo,Argentina,series-c,55000000,2026-01-20,Kaszek; Insight Partners; Index Ventures; monashees; Endeavor Catalyst,payments infrastructure fintech,https://www.insightpartners.com/ideas/pomelo-raises-55-million-series-c-to-accelerate-the-modernization-of-payments-infrastructure/,latamlist,high,expansion,2026-07-14,,
Magie,Brazil,growth,5000000,2026-01-19,Lux Capital,AI banking assistant,https://latamlist.com/category/startup-news/funding/page/10/,latamlist,high,scale,2026-07-14,,
UY3,Brazil,other,37200000,2026-01-17,,credit infrastructure,https://latamlist.com/category/startup-news/funding/page/10/,latamlist,high,other,2026-07-14,,
Aliado,Brazil,seed,2600000,2026-01-12,Headline; Nestal,,https://latamlist.com/category/startup-news/funding/page/11/,latamlist,high,early,2026-07-14,,
Snap Compliance,Costa Rica,seed,2000000,2026-01-06,,compliance GRC tech,https://www.latamrepublic.com/snap-compliance-a-costa-rica-grc-startup-raises-us-2m-to-accelerate-latam-growth/,latamlist,high,early,2026-07-14,,
VelaFi,Mexico,series-b,20000000,2026-01-05,XVC; Ikuyo; Alibaba Investment; BAI Capital,stablecoin payments infrastructure,https://www.businesswire.com/news/home/20260105674229/en/VelaFi-Raises-$20M-Series-B-to-Expand-Global-Stablecoin-Infrastructure,latamlist,high,expansion,2026-07-14,,
Horizon AI,Uruguay,seed,3500000,2026-01,NXTP Ventures; Jeff Lawson; EWA Capital,AI organizational intelligence,https://www.forbesuruguay.com/negocios/startup-uruguaya-horizon-levanta-us-35-millones-acelerar-una-ia-reduce-procesos-meses-minutos-n84473,latamlist,high,early,2026-07-14,,
Enerlink,Chile,other,3100000,2026-01,Kayyak Ventures; Dalus Capital; Inder,EV charging infrastructure,https://latamlist.com/enerlink-raises-3-1m-to-accelerate-its-international-expansion-in-latin-america/,latamlist,high,other,2026-07-14,,
Xepelin,Chile,other,20000000,2026-01,Nazca Ventures,fintech SME lending,https://latamlist.com/xepelin-raises-20m-bridge-round-led-by-nazca-ventures/,latamlist,high,other,2026-07-14,,
Eolic Wall,Peru,seed,1000000,2026-01,Epic Angels; California impact fund,cleantech wind energy,https://gestion.pe/g-de-gestion/reportaje/dos-peruanos-crean-una-tecnologia-de-energia-eolica-para-producir-electricidad-mas-barata-noticia/,latamlist,high,early,2026-07-14,,
Magnar AI,Chile,other,500000,2025-12-31,Carey (law firm),legal AI legaltech,https://www.df.cl/df-mas/punto-de-partida/carey-entra-al-mundo-startup-e-invierte-us-500-mil-en-legaltech-magnar,latamlist,high,other,2026-07-14,,
Galilea,Colombia,other,500000,2025-12-25,US fund with YC ties,fintech digital lending,https://latamlist.com/galilea-raises-500k-in-funding/,latamlist,high,other,2026-07-14,,
Monet,Colombia,series-a,24000000,2025-12-18,Ventures Comfama; US credit facility provider,fintech nano-credit lending,https://tekios.co/2025/12/18/fintech-colombiana-monet-levanta-us24-millones-en-ronda-serie-a/,latamlist,high,expansion,2026-07-14,,
Plain,Brazil,pre-seed,310000,2025-12-17,Urca Angels,,https://businessweek.com.br/2025/12/17/plain-capta-r-17-milhao-em-rodada-pre-seed-liderada-pela-urca-angels/,latamlist,high,early,2026-07-14,,
FlyMedia,Brazil,seed,3700000,2025-12-12,ONEVC,in-car advertising,https://latamlist.com/category/startup-news/funding/page/12/,latamlist,high,early,2026-07-14,,
Morada.ai,Brazil,other,3200000,2025-12-12,,real estate AI,https://latamlist.com/category/startup-news/funding/page/12/,latamlist,high,other,2026-07-14,,
FlowCredi,Brazil,pre-seed,650000,2025-12-12,Verve Capital,credit fintech,https://latamlist.com/category/startup-news/funding/page/12/,latamlist,high,early,2026-07-14,,
Hakutaku,Brazil,pre-seed,,2025-12-05,Stamina Ventures; GrowthWay,enterprise knowledge AI,https://startups.com.br/negocios/hakutaku-fecha-rodada-para-acelerar-ia-de-gestao-empresarial/,latamlist,high,early,2026-07-14,,
Vambe,Chile,series-a,14000000,2025-12-03,Monashees; Cathay Latam; Atlantico; Tekton Ventures; Nazca; M13,AI conversational commerce,https://techla.pro/2025/12/03/vambe-levanta-serie-a-de-us14-millones-para-escalar-el-comercio-conversacional-con-ia-en-latam/,latamlist,high,expansion,2026-07-14,,
ColmeIA,Brazil,other,3400000,2025-12-02,Crescera Capital,customer service AI,https://latamlist.com/category/startup-news/funding/page/12/,latamlist,high,other,2026-07-14,,
BHub,Brazil,other,10000000,2025-12-02,,financial back office,https://latamlist.com/category/startup-news/funding/page/13/,latamlist,high,other,2026-07-14,,
Creditas,Brazil,other,108000000,2025-12-02,Andbank,consumer lending,https://latamlist.com/category/startup-news/funding/page/13/,latamlist,high,other,2026-07-14,,
Leona Health,Mexico,seed,14000000,2025-12,Andreessen Horowitz; General Catalyst; David Vélez; Simón Borrero,women's health AI,https://startupslatam.com/healthtech-mexicana-levanta-us14-millones-para-transformar-la-atencion-medica-en-latinoamerica/,latamlist,high,early,2026-07-14,,
SOLX Holdings,Puerto Rico,seed,1000000,2025-12,Monllor Capital Partners,solar panel manufacturing,https://newsismybusiness.com/monllor-capital-leads-4m-equity-round-for-solx-plant/,latamlist,high,early,2026-07-14,,
TOHKN,El Salvador,pre-seed,3800000,2025-11-28,Innogen Capital; Simón Borrero; Roberto Kriete; Sergio Paiz,fintech tokenized investing,https://www.leadsontrees.com/news/latam-investment-platform-tohkn-raises-38m-pre-seed-funding,latamlist,high,early,2026-07-14,,
Unergy,Colombia,other,4000000,2025-11-25,European climate-infrastructure fund,clean energy solar,https://latamlist.com/unergy-raises-5m-in-a-pre-series-a-round/,latamlist,high,other,2026-07-14,,
Examedi,Chile,other,750000,2025-11-21,Platanus Ventures; Patrick Kiblisky,healthtech home diagnostics,https://www.df.cl/df-mas/coffee-break/examedi-levanta-us-750-mil-sale-general-catalyst-y-se-valoriza-en-us-17,latamlist,high,other,2026-07-14,,
